speedupsDecoding,Better,size of image-px,size of word
2.8102167651963015,FPGA,511200,4
3.16274678111588,FPGA,511200,4
3.413263639333551,FPGA,511200,4
4.54077896138482,FPGA,511200,4
3.271529888551165,FPGA,511200,4
3.5279377431906616,FPGA,511200,4
3.0550311950087985,FPGA,511200,4
3.7065650441711417,FPGA,511200,4
2.9397892624184645,FPGA,511200,4
1.8317199569766305,FPGA,511200,4
1.0785944206008584,FPGA,202800,3
5.645644599303137,FPGA,202800,3
3.0313804297418456,FPGA,202800,3
2.7051282051282053,FPGA,202800,3
2.2397557448176117,FPGA,202800,3
2.196550652579242,FPGA,202800,3
2.149529730591424,FPGA,202800,3
2.190903162699706,FPGA,202800,3
2.5012853470437015,FPGA,202800,3
2.354739066818404,FPGA,202800,3
0.6034765665059993,CPU,202800,2
1.5389566395663956,FPGA,202800,2
1.7048224695283518,FPGA,202800,2
1.4207760086566703,FPGA,202800,2
1.7772277227722773,FPGA,202800,2
1.6660444595282538,FPGA,202800,2
1.5144751738638202,FPGA,202800,2
1.8404010519395133,FPGA,202800,2
1.6547172885774808,FPGA,202800,2
3.0247148288973382,FPGA,202800,2
1.1907274180655476,FPGA,202800,1
0.9007346016198908,CPU,202800,1
0.9085081585081584,CPU,202800,1
0.9131625268922354,CPU,202800,1
0.9261296660117878,CPU,202800,1
1.0485890487759295,FPGA,202800,1
0.9210526315789472,CPU,202800,1
0.9187916830129462,CPU,202800,1
0.9269352290679304,CPU,202800,1
2.9856157635467984,FPGA,202800,1
3.124193964405468,FPGA,511200,4
7.749723960250276,FPGA,511200,4
3.556620379424995,FPGA,511200,4
3.5207718054735184,FPGA,511200,4
3.4980229339659945,FPGA,511200,4
3.4793896155370585,FPGA,511200,4
4.089852216748769,FPGA,511200,4
3.4174257425742574,FPGA,511200,4
3.358131487889273,FPGA,511200,4
3.3656672545561435,FPGA,511200,4
