Speedups Multi Encoding,Better,size of image-px,size of word
2.3301514572992237,FPGA,202800,3
1.9834047109207709,FPGA,549600,3
1.3381153822573724,FPGA,217800,3
8.245299442896936,FPGA,297600,3
1.8228276353276354,FPGA,423000,3
1.5522952529994785,FPGA,202800,2
1.1344330304227581,FPGA,549600,2
0.8577461237867138,CPU,217800,2
1.3388769321072198,FPGA,297600,2
1.18971477960242,FPGA,423000,2
0.9012054181682616,CPU,202800,1
0.7419803356837819,CPU,549600,1
0.4744694132334582,CPU,217800,1
0.6984615384615385,CPU,297600,1
0.6575856035991002,CPU,423000,1
1.2468725476619122,FPGA,541800,4
1.8300453212476675,FPGA,436200,4
1.928581713462923,FPGA,511200,4
1.6216889134794938,FPGA,360000,4
2.1269593762823145,FPGA,201600,4
2.3224556394044464,FPGA,202800,4
2.5047178894665896,FPGA,549600,4
1.6877417633720155,FPGA,217800,4
2.656135847566393,FPGA,297600,4
2.151221679253665,FPGA,423000,4
